IUCR_Code,IUCR_cat,HOURLYTemp,ID-count
8,BURGLARY,50,724
8,BURGLARY,51,519
8,BURGLARY,52,548
8,BURGLARY,53,576
8,BURGLARY,54,516
8,BURGLARY,55,576
8,BURGLARY,56,598
8,BURGLARY,57,668
8,BURGLARY,58,440
8,BURGLARY,59,680
8,BURGLARY,60,723
8,BURGLARY,61,600
8,BURGLARY,62,614
8,BURGLARY,63,665
8,BURGLARY,64,676
8,BURGLARY,65,784
8,BURGLARY,66,729
8,BURGLARY,67,809
8,BURGLARY,68,797
8,BURGLARY,69,846
8,BURGLARY,70,887
8,BURGLARY,71,823
8,BURGLARY,72,829
8,BURGLARY,73,856
8,BURGLARY,74,793
8,BURGLARY,75,682
8,BURGLARY,76,691
8,BURGLARY,77,679
8,BURGLARY,78,658
8,BURGLARY,79,608
8,BURGLARY,80,583
8,BURGLARY,81,476
8,BURGLARY,82,507
8,BURGLARY,83,356
8,BURGLARY,84,298
8,BURGLARY,85,339
8,BURGLARY,86,230
8,BURGLARY,87,216
8,BURGLARY,88,154
8,BURGLARY,89,111
8,BURGLARY,90,96
8,BURGLARY,91,56
8,BURGLARY,92,26
8,BURGLARY,93,11
8,BURGLARY,94,9
9,THEFT,-12,3
9,THEFT,-9,4
9,THEFT,-8,12
9,THEFT,-7,27
9,THEFT,-6,39
9,THEFT,-5,44
9,THEFT,-4,30
9,THEFT,-3,70
9,THEFT,-2,107
9,THEFT,-1,142
9,THEFT,0,137
9,THEFT,1,247
9,THEFT,2,306
9,THEFT,3,332
9,THEFT,4,501
9,THEFT,5,326
9,THEFT,6,330
9,THEFT,7,412
9,THEFT,8,338
9,THEFT,9,295
9,THEFT,10,406
9,THEFT,11,541
9,THEFT,12,449
9,THEFT,13,607
9,THEFT,14,714
9,THEFT,15,582
9,THEFT,16,710
9,THEFT,17,885
9,THEFT,18,968
9,THEFT,19,1229
9,THEFT,20,942
9,THEFT,21,1045
9,THEFT,22,825
9,THEFT,23,980
9,THEFT,24,1298
9,THEFT,25,1315
9,THEFT,26,1414
9,THEFT,27,1779
9,THEFT,28,1778
9,THEFT,29,2072
9,THEFT,30,2480
9,THEFT,31,2753
9,THEFT,32,3223
9,THEFT,33,2926
9,THEFT,34,2843
9,THEFT,35,2777
9,THEFT,36,2730
9,THEFT,37,2956
9,THEFT,38,3150
9,THEFT,39,3301
9,THEFT,40,3398
9,THEFT,41,3043
9,THEFT,42,2516
9,THEFT,43,2810
9,THEFT,44,2763
9,THEFT,45,2900
9,THEFT,46,2931
9,THEFT,47,2922
9,THEFT,48,2917
9,THEFT,49,2489
9,THEFT,50,3038
9,THEFT,51,2244
9,THEFT,52,2532
9,THEFT,53,2576
9,THEFT,54,2222
9,THEFT,55,2422
9,THEFT,56,2653
9,THEFT,57,3080
9,THEFT,58,2242
9,THEFT,59,2701
9,THEFT,60,2887
9,THEFT,61,2590
9,THEFT,62,2778
9,THEFT,63,3028
9,THEFT,64,2904
9,THEFT,65,3473
9,THEFT,66,3105
9,THEFT,67,3523
9,THEFT,68,3841
9,THEFT,69,3598
9,THEFT,70,4120
9,THEFT,71,3672
9,THEFT,72,3898
9,THEFT,73,3909
9,THEFT,74,3958
9,THEFT,75,3457
9,THEFT,76,3501
9,THEFT,77,3590
9,THEFT,78,3334
9,THEFT,79,3032
9,THEFT,80,3103
9,THEFT,81,2710
9,THEFT,82,2931
9,THEFT,83,1867
9,THEFT,84,1690
9,THEFT,85,1691
9,THEFT,86,1310
9,THEFT,87,996
9,THEFT,88,976
9,THEFT,89,636
9,THEFT,90,556
9,THEFT,91,380
9,THEFT,92,195
9,THEFT,93,83
