d_date,IUCR_Code,ID-count,Bin1-sum,Bin2-sum,Bin3-sum,Bin4-sum,Bin5-sum
1/16/2015,21,1,0,1,0,0,0
1/16/2015,22,55,0,55,0,0,0
1/16/2016,1,3,0,3,0,0,0
1/16/2016,2,5,0,5,0,0,0
1/16/2016,3,28,2,26,0,0,0
1/16/2016,4,130,15,115,0,0,0
1/16/2016,6,37,4,33,0,0,0
1/16/2016,8,40,2,38,0,0,0
1/16/2016,9,133,13,120,0,0,0
1/16/2016,10,39,6,33,0,0,0
1/16/2016,11,1,0,1,0,0,0
1/16/2016,13,44,3,41,0,0,0
1/16/2016,14,89,12,77,0,0,0
1/16/2016,15,5,0,5,0,0,0
1/16/2016,16,4,0,4,0,0,0
1/16/2016,17,1,0,1,0,0,0
1/16/2016,19,2,0,2,0,0,0
1/16/2016,20,38,3,35,0,0,0
1/16/2016,21,1,1,0,0,0,0
1/16/2016,22,48,9,39,0,0,0
1/16/2017,1,3,0,3,0,0,0
1/16/2017,2,7,0,7,0,0,0
1/16/2017,3,32,0,32,0,0,0
1/16/2017,4,123,0,123,0,0,0
1/16/2017,6,46,0,46,0,0,0
1/16/2017,8,43,0,43,0,0,0
1/16/2017,9,165,0,165,0,0,0
1/16/2017,10,31,0,31,0,0,0
1/16/2017,13,40,0,40,0,0,0
1/16/2017,14,83,0,83,0,0,0
1/16/2017,15,9,0,9,0,0,0
1/16/2017,16,1,0,1,0,0,0
1/16/2017,17,1,0,1,0,0,0
1/16/2017,19,4,0,4,0,0,0
1/16/2017,20,21,0,21,0,0,0
1/16/2017,22,42,0,42,0,0,0
1/16/2018,2,5,5,0,0,0,0
1/16/2018,3,24,12,12,0,0,0
1/16/2018,4,113,66,47,0,0,0
1/16/2018,6,48,26,22,0,0,0
1/16/2018,8,25,11,14,0,0,0
1/16/2018,9,146,63,83,0,0,0
1/16/2018,10,42,26,16,0,0,0
1/16/2018,11,1,1,0,0,0,0
1/16/2018,13,54,21,33,0,0,0
1/16/2018,14,59,27,32,0,0,0
1/16/2018,15,6,4,2,0,0,0
1/16/2018,19,3,1,2,0,0,0
1/16/2018,20,32,10,22,0,0,0
1/16/2018,21,1,0,1,0,0,0
1/16/2018,22,45,20,25,0,0,0
1/17/2015,1,2,0,1,1,0,0
1/17/2015,2,4,0,3,1,0,0
1/17/2015,3,25,0,19,6,0,0
1/17/2015,4,166,0,98,68,0,0
1/17/2015,6,38,0,19,19,0,0
1/17/2015,8,37,0,14,23,0,0
1/17/2015,9,156,0,68,88,0,0
1/17/2015,10,31,0,14,17,0,0
1/17/2015,13,27,0,6,21,0,0
1/17/2015,14,93,0,51,42,0,0
1/17/2015,15,11,0,5,6,0,0
1/17/2015,16,11,0,8,3,0,0
1/17/2015,17,3,0,2,1,0,0
1/17/2015,18,1,0,1,0,0,0
1/17/2015,19,3,0,1,2,0,0
1/17/2015,20,84,0,43,41,0,0
1/17/2015,21,1,0,0,1,0,0
1/17/2015,22,48,0,23,25,0,0
1/17/2016,1,1,1,0,0,0,0
1/17/2016,2,3,3,0,0,0,0
1/17/2016,3,27,27,0,0,0,0
